Name|Full name|Start time|Result|Category
_1_ValidationOfDeviceId|SpecFlowAutomation.Tests.Features._048_ValidationDvdCdControlsFeature._1_ValidationOfDeviceId|2024-11-13T20:44:42Z|Passed|smoke|
_2_ValidationOfVID_PID|SpecFlowAutomation.Tests.Features._048_ValidationDvdCdControlsFeature._2_ValidationOfVID_PID|2024-11-13T20:45:02Z|Passed|smoke|
_1_ValidationOfDeviceId|SpecFlowAutomation.Tests.Features._049_ValidationUSBDeviceControlsFeature._1_ValidationOfDeviceId|2024-11-13T20:45:23Z|Failed|smoke|
_2_ValidationOfVID_PID|SpecFlowAutomation.Tests.Features._049_ValidationUSBDeviceControlsFeature._2_ValidationOfVID_PID|2024-11-13T20:45:46Z|Failed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._050_JdrEditorBlockPermissionFeature._1_Create|2024-11-13T20:46:09Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._050_JdrEditorBlockPermissionFeature._2_Edit|2024-11-13T20:46:39Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._050_JdrEditorBlockPermissionFeature._3_Delete|2024-11-13T20:47:08Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._050_JdrEditorBlockPermissionFeature._4_Discard|2024-11-13T20:47:35Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._051_JdrEditorDefaultPermissionFeature._1_Create|2024-11-13T20:47:51Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._051_JdrEditorDefaultPermissionFeature._2_Edit|2024-11-13T20:48:16Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._051_JdrEditorDefaultPermissionFeature._3_Delete|2024-11-13T20:48:43Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._051_JdrEditorDefaultPermissionFeature._4_Discard|2024-11-13T20:49:08Z|Passed|smoke|
_1_Create|SpecFlowAutomation.Tests.Features._052_JdrEditorRunPermissionFeature._1_Create|2024-11-13T20:49:24Z|Passed|smoke|
_2_Edit|SpecFlowAutomation.Tests.Features._052_JdrEditorRunPermissionFeature._2_Edit|2024-11-13T20:49:49Z|Passed|smoke|
_3_Delete|SpecFlowAutomation.Tests.Features._052_JdrEditorRunPermissionFeature._3_Delete|2024-11-13T20:50:15Z|Passed|smoke|
_4_Discard|SpecFlowAutomation.Tests.Features._052_JdrEditorRunPermissionFeature._4_Discard|2024-11-13T20:50:40Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._054_ExtractVerifyAndDeleteBaselinePoliciesForApplicationWindowsSupersedenceFeature._1_ExtractPolicy|2024-11-13T20:50:56Z|Passed|smoke|
_1_FilterExtractPolicy("10",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._1_FilterExtractPolicy("10",null)|2024-11-13T20:51:12Z|Passed|smoke|
_2_ResetExtractPolicy("20",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._2_ResetExtractPolicy("20",null)|2024-11-13T20:51:27Z|Passed|smoke|
_3_SortingOrderByPolicyName("10",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._3_SortingOrderByPolicyName("10",null)|2024-11-13T20:51:45Z|Passed|smoke|
_5_SortingOrderByDescription("10",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._5_SortingOrderByDescription("10",null)|2024-11-13T20:52:02Z|Skipped|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("Z","50",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("Z","50",null)|2024-11-13T20:52:02Z|Skipped|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("ZZ","20",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("ZZ","20",null)|2024-11-13T20:52:02Z|Skipped|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("Q1","100",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("Q1","100",null)|2024-11-13T20:52:02Z|Skipped|smoke|
_6_ThreeOrMoreCharsAreMandatoryForSearch("Z2","100",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._6_ThreeOrMoreCharsAreMandatoryForSearch("Z2","100",null)|2024-11-13T20:52:02Z|Skipped|smoke|
_7_ResultsMatchSearchCriteria("devl","10",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._7_ResultsMatchSearchCriteria("devl","10",null)|2024-11-13T20:52:02Z|Skipped|smoke|
_8_VerifyPreviousNextPageNumberLinksInPagination("AUTO","10",null)|SpecFlowAutomation.Tests.Features._056_ExtractPoliciesFeature._8_VerifyPreviousNextPageNumberLinksInPagination("AUTO","10",null)|2024-11-13T20:52:02Z|Passed|smoke|
BrowseReleaseLog|SpecFlowAutomation.Tests.Features._058_ReleaseLogFeature.BrowseReleaseLog|2024-11-13T20:52:17Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._059_ViewExtractAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._1_ExtractPolicy|2024-11-13T20:52:31Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._059_ViewExtractAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._2_DeletePolicy|2024-11-13T20:53:38Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._060_ViewExtractAndDeleteBaselinePoliciesForApplicationConfigurationsIOSFeature._1_ExtractPolicy|2024-11-13T20:53:56Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._060_ViewExtractAndDeleteBaselinePoliciesForApplicationConfigurationsIOSFeature._2_DeletePolicy|2024-11-13T20:54:36Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._089_ViewExtractAndDeleteBaselinePoliciesForApplicationIOSFeature._1_ExtractPolicy|2024-11-13T20:54:53Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._089_ViewExtractAndDeleteBaselinePoliciesForApplicationIOSFeature._2_DeletePolicy|2024-11-13T20:56:03Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._090_ViewExtractAndDeleteBaselinePoliciesForApplicationWebAppFeature._1_ExtractPolicy|2024-11-13T20:56:22Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._090_ViewExtractAndDeleteBaselinePoliciesForApplicationWebAppFeature._2_DeletePolicy|2024-11-13T20:57:16Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._091_ViewExtractAndDeleteBaselinePoliciesForApplicationWindowsFeature._1_ExtractPolicy|2024-11-13T20:57:36Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._091_ViewExtractAndDeleteBaselinePoliciesForApplicationWindowsFeature._2_DeletePolicy|2024-11-13T20:58:50Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._092_ViewExtractAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._1_ExtractPolicy|2024-11-13T20:59:17Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._092_ViewExtractAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._2_DeletePolicy|2024-11-13T21:00:18Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._093_ViewExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._1_ExtractPolicy|2024-11-13T21:00:36Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._093_ViewExtractAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._2_DeletePolicy|2024-11-13T21:01:25Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._094_ViewExtractAndDeleteBaselinePoliciesForScriptsWindowsFeature._1_ExtractPolicy|2024-11-13T21:01:44Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._094_ViewExtractAndDeleteBaselinePoliciesForScriptsWindowsFeature._2_DeletePolicy|2024-11-13T21:02:46Z|Passed|smoke|
_01_UploadAPrivateFile|SpecFlowAutomation.Tests.Features._097_AssetEditorDuplicateFileNamesFeature._01_UploadAPrivateFile|2024-11-13T21:03:04Z|Passed|smoke|
_02_UploadADuplicatePrivateFile|SpecFlowAutomation.Tests.Features._097_AssetEditorDuplicateFileNamesFeature._02_UploadADuplicatePrivateFile|2024-11-13T21:03:19Z|Passed|smoke|
_03_UploadAndDeleteAPublicFile|SpecFlowAutomation.Tests.Features._097_AssetEditorDuplicateFileNamesFeature._03_UploadAndDeleteAPublicFile|2024-11-13T21:03:34Z|Passed|smoke|
_04_UploadADuplicatePublicFile|SpecFlowAutomation.Tests.Features._097_AssetEditorDuplicateFileNamesFeature._04_UploadADuplicatePublicFile|2024-11-13T21:03:52Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._102_ExtractAndDeleteBaselinePoliciesForStoreAppFeature._1_ExtractPolicy|2024-11-13T21:04:08Z|Failed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._102_ExtractAndDeleteBaselinePoliciesForStoreAppFeature._2_DeletePolicy|2024-11-13T21:04:21Z|Failed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._104_CreateAndDeleteBaselinePoliciesForStoreAppFeature._1_CreatePolicy|2024-11-13T21:04:39Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._104_CreateAndDeleteBaselinePoliciesForStoreAppFeature._2_DeletePolicy|2024-11-13T21:05:18Z|Passed|smoke|
